277293,0,"【岚少实况】 爱灵之贽 【完结】【日文恐怖游戏】","2012-05-31 15:39:41",374377,16962,2332646,631729,3398,11764,5444,1372,0,3,0,25,0,2
116019,0,"樱兰高校男公关部（26话全）【BDRip】","2011-07-16 05:45:01",70432,1402,2284324,244213,3095,24049,3654,623,0,316,0,1,0,2
389159,0,"【10月】樱花庄的宠物女孩 05【千夏】","2012-11-06 01:23:33",52465,1440,2272314,85619,1166,669,4358,1507,0,4,0,0,0,2
160128,0,"【10月】我的朋友很少 03【雪酷】","2011-10-20 23:09:07",119978,1470,2259321,122386,835,567,2111,1092,0,0,0,1,0,2
9911,0,"【合集】麻辣教师GTO","2010-06-16 07:40:50",245050,63841,2240576,121340,2977,7790,3412,2027,0,97,0,6,0,2
262510,0,"【BDRip720P】[C]金钱·未来式【1-11完】","2012-05-08 04:53:11",95172,15108,2232558,47265,4606,6708,3912,9279,0,0,0,0,0,2
454394,0,"厂长调戏SCP173","2013-01-29 04:13:15",122879,369,2230657,35451,3770,6790,1458,2559,0,2,0,182,0,2
107,0,"最终鬼畜二小姐.芙兰朵露","2009-07-14 11:21:51",54711,1302,2217138,101580,11373,66995,10525,7472,0,71,0,34,0,2
8499,0,"真.三国无双 【兄貴伝】","2010-05-31 02:48:32",12488,277,2212184,39633,6377,67114,9306,14718,0,63,0,13,0,2
120040,0,"高级语言弹幕测试","2011-07-25 17:55:15",2,1301,2175768,323670,3554,10487,2393,591,0,65,0,32,0,2
393326,0,"【10月】樱花庄的宠物女孩 06【千夏】","2012-11-13 03:00:06",52465,1440,2152659,96954,1648,527,5348,940,0,3,0,0,0,2
163486,0,"【10月】我的朋友很少 04【雪酷】","2011-10-27 22:44:59",119978,1470,2129865,112603,1094,523,2029,885,0,0,0,2,0,2
418088,0,"这是用生命在跳舞啊！！","2012-12-18 04:55:09",157239,388,2099706,10846,1925,9021,3099,7146,0,4,0,878,0,2
402987,0,"【10月】樱花庄的宠物女孩 08【千夏】","2012-11-27 01:47:27",52465,1440,2069094,93352,1192,500,5875,1412,0,3,0,2,0,2
474225,0,"【1月】问题儿童都来自异世界？06【极影】","2013-02-16 01:39:34",374700,1437,2047188,43593,691,414,3764,706,0,3,0,0,0,2
166914,0,"【10月】我的朋友很少 05【雪酷】","2011-11-04 01:32:27",119978,1470,2032029,88120,739,420,1400,560,0,0,0,2,0,2
382003,0,"我的这把刀可是涂满了毒药的毒刃","2012-10-25 05:34:30",190245,126,2030391,11766,1177,39843,2547,13605,0,1,0,45,0,2
329437,0,"【银发娘miume・MARiA・217 】Girls之舞","2012-08-07 13:45:07",179628,472,2026926,6886,2144,65661,5111,7071,0,33,0,3,0,2
407849,0,"【10月】樱花庄的宠物女孩 09【千夏】","2012-12-04 00:41:16",52465,1440,2020444,85596,899,471,4196,792,0,4,0,0,0,2
412853,0,"【10月】樱花庄的宠物女孩 10【千夏】","2012-12-11 00:51:19",52465,1440,2008481,93444,1498,442,5218,917,0,3,0,0,0,2
321309,0,"【OVA】罪恶王冠 失落圣诞【千夏】","2012-07-28 14:35:22",19653,893,2005966,38863,2787,1725,1849,1344,0,0,0,0,0,2
80017,0,"【4月】日常02 【华盟】","2011-04-10 08:23:35",7558527,2949,2000087,46053,1459,564,2887,2728,0,0,0,0,0,2
21600,0,"校园迷糊大王 第1、2、3季+OVA全","2010-08-21 15:56:42",14614,80898,1999750,172387,6506,19358,3367,688,0,212,0,6,0,2
107084,0,"【BILIBILI大合作】无限循环祭","2011-06-24 07:57:35",11167,960,1991947,252250,6621,63496,8783,1120,0,61,0,2,0,2
242349,0,"【4月】这个是僵尸吗？ OF THE DEAD 01【雪酷】","2012-04-04 19:09:45",119978,1500,1982221,88620,2869,763,2829,1255,0,500,0,0,0,2
7,0,"2012地球便当之日宣传片","2009-06-26 07:11:36",2,171,1981987,48042,53724,20201,5292,3537,0,10,0,98,0,2
112791,0,"【7月番】第二季 笨蛋测验召唤兽01【动漫国】","2011-07-07 21:47:42",21036,1430,1972492,55054,2497,1402,1860,872,0,466,0,0,0,2
217783,0,"【头文字D】【第二部】【1-13全】","2012-02-17 15:31:05",313535,18197,1969390,94879,1553,4506,2064,763,0,603,0,7,0,2
170554,0,"【10月】我的朋友很少 06【雪酷】","2011-11-11 01:11:36",119978,1470,1960616,65116,732,427,1966,490,0,0,0,0,0,2
21091,0,"【马裤螺丝】 Macross F 全集","2010-08-18 17:19:37",256913,38098,1956983,80540,4358,5740,2172,1341,0,462,0,1,0,2
206203,0,"全明星 樱桃小丸子 第二版","2012-01-28 06:39:28",7714,190,1937030,42102,2451,37684,5958,4934,0,83,0,11,0,2
173606,0,"【10月】我的朋友很少 07【雪酷】","2011-11-18 02:32:29",119978,1470,1930818,91193,717,391,1535,601,0,0,0,3,0,2
166477,0,"【720P】花丸幼稚园【全集+特典】","2011-11-03 04:59:07",35994,18657,1906055,140406,3409,15561,3701,5084,0,85,0,2,0,2
147006,0,"【10月】我的朋友很少 00 【华盟&澄空】","2011-09-20 21:30:44",49443,673,1895449,32456,3206,1583,1323,580,0,587,0,0,0,2
